seed,dimension,epsilon,tau,family,objective,learned_means,learned_scales,learned_weights,learned_weight_component_2,device_used,cuda_available,gpu_name,training_device,evaluation_device,eval_batch_size,gpu_memory_allocated_mb,gpu_memory_reserved_mb
0,10,0.1,0.1,diagonal_gaussian,inclusive_kl,"[1.3454923921589472,1.3615161683112553,1.3500297748706305,1.3494467697613393,1.3525554944507818,1.35334765709357,1.3530878856114794,1.3554940558739432,1.3484036837608646,1.3453333736136124]","[1.0550513438328317,1.05154265702657,1.0500524376468343,1.0536993240369392,1.060129315862708,1.0571443863706278,1.0597810320180092,1.0458296207346445,1.0477172204584355,1.0407377444901187]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.1,0.1,diagonal_gaussian_mixture_2,inclusive_kl,"[[1.4929019239591967,1.5111673136492316,1.4976476558688905,1.4975025664187411,1.5004131382630745,1.5012680611078932,1.501439124635168,1.5038735929564373,1.4958128017042414,1.4926174881017469],[0.005706456107704573,-0.004340420004581187,0.0021719076496988406,-0.0029219720971945386,0.001309274612031106,-0.0018079201789995116,0.0024820397543859514,-0.00471180030874446,0.007583854461543767,0.002252188188362648]]","[[1.0055104640834098,0.9998780416460548,1.001048278561166,1.005011402215192,1.0114028162183553,1.008630401961655,1.0093609316453043,0.9935486924338279,0.9990807910938267,0.99214617747299],[0.10018666555059283,0.100451825044787,0.101187096611432,0.09833369914300381,0.10258562000047405,0.09972769721584795,0.09832141562981542,0.10035660277718776,0.10124784455809926,0.10017148994677952]]","[0.9014641405517629,0.09853585944823696]",0.09853585944823696,cpu,False,,cpu,cpu,65536,0.0,0.0
1,2,0.01,0.05,diagonal_gaussian,exclusive_kl,"[1.4927682979028398,1.5018675898973226]","[1.0015794406369019,0.998416637860346]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
1,2,0.01,0.05,diagonal_gaussian_mixture_2,exclusive_kl,"[[1.5005058004816678,1.5019380246050404],[0.000565853805607826,0.0029808321476801443]]","[[1.0045207282158435,0.9960973945622543],[0.05012873002068368,0.05113409261457169]]","[0.9900142710161813,0.009985728983818614]",0.009985728983818614,cpu,False,,cpu,cpu,65536,0.0,0.0
1,2,0.01,0.05,diagonal_gaussian,inclusive_kl,"[1.486917005410951,1.4802277198604836]","[1.0076254112772747,1.0113047622835736]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
1,2,0.01,0.05,diagonal_gaussian_mixture_2,inclusive_kl,"[[1.501549317543984,1.4948124433228382],[0.0012235946921750603,0.0021154606254912348]]","[[1.0016211055327318,1.005497965600609],[0.05118579972465044,0.051277020597208386]]","[0.9899781114893957,0.010021888510604374]",0.010021888510604374,cpu,False,,cpu,cpu,65536,0.0,0.0
1,2,0.01,0.1,diagonal_gaussian,exclusive_kl,"[1.4944203164221732,1.4957472927697404]","[1.0000783549927563,1.001079246400684]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
1,2,0.01,0.1,diagonal_gaussian_mixture_2,exclusive_kl,"[[1.4998349852516972,1.5014570174502604],[-0.0019864222534425047,-0.002164483031719694]]","[[1.005002746050532,0.996414189081526],[0.10147029621330818,0.09982060773035424]]","[0.9898474337878377,0.010152566212162394]",0.010152566212162394,cpu,False,,cpu,cpu,65536,0.0,0.0
1,2,0.01,0.1,diagonal_gaussian,inclusive_kl,"[1.4869357237536034,1.4802274703955607]","[1.0076359469832592,1.0113410295402898]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
1,2,0.01,0.1,diagonal_gaussian_mixture_2,inclusive_kl,"[[1.5015663845158065,1.4947705428891254],[0.00155015393223614,0.0025270473591461648]]","[[1.0016024634833194,1.0055767937335716],[0.10116336415430308,0.10415502011251417]]","[0.9899795689759655,0.010020431024034491]",0.010020431024034491,cpu,False,,cpu,cpu,65536,0.0,0.0
1,2,0.05,0.05,diagonal_gaussian,exclusive_kl,"[1.4863729435518984,1.5024484806669405]","[1.0051618062825747,0.9974722904734525]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
1,2,0.05,0.05,diagonal_gaussian_mixture_2,exclusive_kl,"[[1.5003372994158504,1.5018474731748879],[-0.0002840003103811332,0.001560509869768664]]","[[1.0046677126470123,0.9961421596466488],[0.0499904260079531,0.050023717906472955]]","[0.9500089794183699,0.0499910205816301]",0.0499910205816301,cpu,False,,cpu,cpu,65536,0.0,0.0
1,2,0.05,0.05,diagonal_gaussian,inclusive_kl,"[1.4258040759458002,1.4278317875484934]","[1.0279152002981438,1.0197609866070703]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
