dataset,seed,radius,prior_log_mass,posterior_log_mass,prior_mass,posterior_mass
Iris 0 vs 1,4,0.037965581824907835,-24.03316622102689,-20.53208595328528,3.6519811527153384e-11,1.2106772135444697e-09
Iris 0 vs 1,4,0.04270949756605945,-23.444476245493064,-19.943484423079692,6.579506729735668e-11,2.1809954780222905e-09
Iris 0 vs 1,4,0.048046180110125715,-22.85579069090392,-19.35491077835823,1.1853762550932375e-10,3.9288825954227355e-09
Iris 0 vs 1,4,0.05404969748483107,-22.26711073315904,-18.766372421205354,2.1355841093532138e-10,7.077306629326281e-09
Iris 0 vs 1,4,0.06080337274484124,-21.678437860670087,-18.177878717868065,3.8474595342834196e-10,1.2748162187758183e-08
Iris 0 vs 1,4,0.06840094041572894,-21.089773957393156,-17.589441519536763,6.931505077679166e-10,2.2961624384660816e-08
Iris 0 vs 1,4,0.07694784743915471,-20.50112140792558,-17.001075820957166,1.2487517208288907e-09,4.135486281929804e-08
Iris 0 vs 1,4,0.08656271667513342,-19.91248323053425,-16.412800593201666,2.2496679024516545e-09,7.447512996981699e-08
Iris 0 vs 1,4,0.09737899327339176,-19.323863245545397,-15.824639836413363,4.052778079014214e-09,1.3410539230232238e-07
Iris 0 vs 1,4,0.1095467967638697,-18.735266288506473,-15.236623910242148,7.3009140193013706e-09,2.414450537988519e-07
Iris 0 vs 1,4,0.12323500457160347,-18.146698480041678,-14.648791214605026,1.3151914756783881e-08,4.3462110230628355e-07
