a_p,a_q,r,mc_p_mass,mc_q_mass,mc_local_mass_ratio,mc_samples,mc_p_count_inside,mc_q_count_inside
0.5,4.0,0.0001,0.0089,0.0,0.0,200000,1780,0
0.5,4.0,0.00012295426265956227,0.00991,0.0,0.0,200000,1982,0
0.5,4.0,0.00015117750706156616,0.010925,0.0,0.0,200000,2185,0
0.5,4.0,0.00018587918911465635,0.01219,0.0,0.0,200000,2438,0
0.5,4.0,0.00022854638641349906,0.013615,0.0,0.0,200000,2723,0
0.5,4.0,0.0002810075242497918,0.015005,0.0,0.0,200000,3001,0
0.5,4.0,0.0003455107294592218,0.01667,0.0,0.0,200000,3334,0
0.5,4.0,0.0004248201698162612,0.018625,0.0,0.0,200000,3725,0
0.5,4.0,0.0005223345074266843,0.02072,0.0,0.0,200000,4144,0
0.5,4.0,0.0006422325422229357,0.02294,0.0,0.0,200000,4588,0
0.5,4.0,0.0007896522868499724,0.025575,0.0,0.0,200000,5115,0
0.5,4.0,0.0009709111468707553,0.028305,0.0,0.0,200000,5661,0
0.5,4.0,0.0011937766417144358,0.03142,0.0,0.0,200000,6284,0
0.5,4.0,0.0014677992676220704,0.035055,0.0,0.0,200000,7011,0
0.5,4.0,0.0018047217668271701,0.038785,0.0,0.0,200000,7757,0
0.5,4.0,0.0022189823414589718,0.0429,0.0,0.0,200000,8580,0
0.5,4.0,0.0027283333764867696,0.04775,0.0,0.0,200000,9550,0
0.5,4.0,0.0033546021859540433,0.052935,0.0,0.0,200000,10587,0
0.5,4.0,0.004124626382901352,0.058905,0.0,0.0,200000,11781,0
0.5,4.0,0.005071403956558132,0.06555,0.0,0.0,200000,13110,0
0.5,4.0,0.006235507341273912,0.072685,0.0,0.0,200000,14537,0
0.5,4.0,0.007666822074546214,0.080455,0.0,0.0,200000,16091,0
0.5,4.0,0.009426684551178854,0.089585,0.0,0.0,200000,17917,0
0.5,4.0,0.011590510483144828,0.100165,0.0,0.0,200000,20033,0
0.5,4.0,0.014251026703029978,0.11095,0.0,0.0,200000,22190,0
0.5,4.0,0.017522244804127837,0.12315,0.0,0.0,200000,24630,0
0.5,4.0,0.021544346900318846,0.13608,0.0,0.0,200000,27216,0
0.5,4.0,0.02648969287610527,0.1511,0.0,0.0,200000,30220,0
0.5,4.0,0.03257020655659783,0.167235,0.0,0.0,200000,33447,0
0.5,4.0,0.04004645731836127,0.18585,0.0,0.0,200000,37170,0
0.5,4.0,0.04923882631706741,0.205835,0.0,0.0,200000,41167,0
0.5,4.0,0.06054123584037269,0.228085,0.0,0.0,200000,45617,0
0.5,4.0,0.07443803013251689,0.252855,5e-06,1.9774178877222124e-05,200000,50571,1
0.5,4.0,0.09152473108773893,0.28005,5e-06,1.7853954650955187e-05,200000,56010,1
0.5,4.0,0.11253355826007645,0.31062,1.5e-05,4.829051574270813e-05,200000,62124,3
0.5,4.0,0.13836480680324595,0.344075,4e-05,0.00011625372375208894,200000,68815,8
0.5,4.0,0.17012542798525893,0.38106,0.00011,0.00028866845116254657,200000,76212,22
0.5,4.0,0.20917646557569972,0.422275,0.00019,0.00044994375703037124,200000,84455,38
0.5,4.0,0.25719138090593446,0.467265,0.00055,0.001177062266593903,200000,93453,110
0.5,4.0,0.31622776601683794,0.517475,0.001165,0.002251316488719262,200000,103495,233
1.0,0.25,0.0001,8.5e-05,0.09697,1140.8235294117646,200000,17,19394
1.0,0.25,0.00012295426265956227,0.000115,0.102625,892.391304347826,200000,23,20525
1.0,0.25,0.00015117750706156616,0.000125,0.10813,865.04,200000,25,21626
1.0,0.25,0.00018587918911465635,0.00015,0.113485,756.5666666666667,200000,30,22697
1.0,0.25,0.00022854638641349906,0.00019,0.11958,629.3684210526316,200000,38,23916
1.0,0.25,0.0002810075242497918,0.00022,0.12629,574.0454545454546,200000,44,25258
1.0,0.25,0.0003455107294592218,0.00027,0.133095,492.9444444444444,200000,54,26619
1.0,0.25,0.0004248201698162612,0.00032,0.140305,438.453125,200000,64,28061
1.0,0.25,0.0005223345074266843,0.00039,0.14785,379.10256410256414,200000,78,29570
1.0,0.25,0.0006422325422229357,0.000505,0.15576,308.43564356435644,200000,101,31152
1.0,0.25,0.0007896522868499724,0.00061,0.16389,268.672131147541,200000,122,32778
1.0,0.25,0.0009709111468707553,0.000765,0.17251,225.50326797385623,200000,153,34502
1.0,0.25,0.0011937766417144358,0.000945,0.181755,192.33333333333334,200000,189,36351
1.0,0.25,0.0014677992676220704,0.00116,0.191745,165.29741379310346,200000,232,38349
1.0,0.25,0.0018047217668271701,0.001335,0.201965,151.28464419475657,200000,267,40393
1.0,0.25,0.0022189823414589718,0.001725,0.212765,123.34202898550726,200000,345,42553
1.0,0.25,0.0027283333764867696,0.002155,0.223735,103.82134570765662,200000,431,44747
1.0,0.25,0.0033546021859540433,0.002665,0.235625,88.41463414634147,200000,533,47125
1.0,0.25,0.004124626382901352,0.003295,0.247815,75.20940819423369,200000,659,49563
1.0,0.25,0.005071403956558132,0.00413,0.261075,63.214285714285715,200000,826,52215
1.0,0.25,0.006235507341273912,0.005165,0.274565,53.15876089060987,200000,1033,54913
1.0,0.25,0.007666822074546214,0.006305,0.288505,45.75812846946868,200000,1261,57701
1.0,0.25,0.009426684551178854,0.00774,0.303375,39.195736434108525,200000,1548,60675
1.0,0.25,0.011590510483144828,0.009535,0.31922,33.47876245411641,200000,1907,63844
1.0,0.25,0.014251026703029978,0.011655,0.33547,28.78335478335478,200000,2331,67094
1.0,0.25,0.017522244804127837,0.014435,0.353715,24.503983373744372,200000,2887,70743
1.0,0.25,0.021544346900318846,0.0176,0.37248,21.16363636363636,200000,3520,74496
1.0,0.25,0.02648969287610527,0.021505,0.39238,18.245989304812834,200000,4301,78476
1.0,0.25,0.03257020655659783,0.02651,0.412875,15.574311580535648,200000,5302,82575
1.0,0.25,0.04004645731836127,0.032495,0.434855,13.382212648099706,200000,6499,86971
1.0,0.25,0.04923882631706741,0.039195,0.458715,11.703406046689627,200000,7839,91743
1.0,0.25,0.06054123584037269,0.04837,0.48321,9.989869753979738,200000,9674,96642
1.0,0.25,0.07443803013251689,0.060205,0.508755,8.450377875591727,200000,12041,101751
1.0,0.25,0.09152473108773893,0.07382,0.5356,7.255486318070983,200000,14764,107120
1.0,0.25,0.11253355826007645,0.0905,0.56434,6.235801104972375,200000,18100,112868
1.0,0.25,0.13836480680324595,0.11043,0.594255,5.381282260255365,200000,22086,118851
1.0,0.25,0.17012542798525893,0.135345,0.625085,4.618456536998043,200000,27069,125017
1.0,0.25,0.20917646557569972,0.16603,0.65764,3.9609709088718903,200000,33206,131528
1.0,0.25,0.25719138090593446,0.20331,0.691565,3.401529683734199,200000,40662,138313
1.0,0.25,0.31622776601683794,0.248635,0.727455,2.9257948398254467,200000,49727,145491
1.0,0.5,0.0001,8.5e-05,0.00908,106.8235294117647,200000,17,1816
1.0,0.5,0.00012295426265956227,0.000115,0.01,86.95652173913044,200000,23,2000
1.0,0.5,0.00015117750706156616,0.000125,0.011245,89.96,200000,25,2249
1.0,0.5,0.00018587918911465635,0.00015,0.012325,82.16666666666667,200000,30,2465
1.0,0.5,0.00022854638641349906,0.00019,0.01371,72.1578947368421,200000,38,2742
1.0,0.5,0.0002810075242497918,0.00022,0.01535,69.77272727272728,200000,44,3070
1.0,0.5,0.0003455107294592218,0.00027,0.017045,63.12962962962963,200000,54,3409
1.0,0.5,0.0004248201698162612,0.00032,0.018975,59.29687499999999,200000,64,3795
1.0,0.5,0.0005223345074266843,0.00039,0.02114,54.205128205128204,200000,78,4228
1.0,0.5,0.0006422325422229357,0.000505,0.0233,46.13861386138614,200000,101,4660
1.0,0.5,0.0007896522868499724,0.00061,0.025735,42.18852459016394,200000,122,5147
1.0,0.5,0.0009709111468707553,0.000765,0.02868,37.490196078431374,200000,153,5736
1.0,0.5,0.0011937766417144358,0.000945,0.03184,33.6931216931217,200000,189,6368
1.0,0.5,0.0014677992676220704,0.00116,0.035575,30.668103448275865,200000,232,7115
1.0,0.5,0.0018047217668271701,0.001335,0.039645,29.696629213483146,200000,267,7929
1.0,0.5,0.0022189823414589718,0.001725,0.0439,25.449275362318843,200000,345,8780
1.0,0.5,0.0027283333764867696,0.002155,0.048775,22.63341067285383,200000,431,9755
1.0,0.5,0.0033546021859540433,0.002665,0.05419,20.333958724202628,200000,533,10838
1.0,0.5,0.004124626382901352,0.003295,0.05992,18.18512898330804,200000,659,11984
1.0,0.5,0.005071403956558132,0.00413,0.06666,16.140435835351088,200000,826,13332
1.0,0.5,0.006235507341273912,0.005165,0.073845,14.297192642787994,200000,1033,14769
1.0,0.5,0.007666822074546214,0.006305,0.08209,13.019825535289453,200000,1261,16418
1.0,0.5,0.009426684551178854,0.00774,0.09081,11.732558139534884,200000,1548,18162
1.0,0.5,0.011590510483144828,0.009535,0.10051,10.541164132144731,200000,1907,20102
1.0,0.5,0.014251026703029978,0.011655,0.11149,9.565851565851567,200000,2331,22298
1.0,0.5,0.017522244804127837,0.014435,0.123665,8.567024593003117,200000,2887,24733
1.0,0.5,0.021544346900318846,0.0176,0.136495,7.755397727272727,200000,3520,27299
1.0,0.5,0.02648969287610527,0.021505,0.151235,7.032550569634969,200000,4301,30247
1.0,0.5,0.03257020655659783,0.02651,0.168065,6.339683138438325,200000,5302,33613
1.0,0.5,0.04004645731836127,0.032495,0.186335,5.734266810278504,200000,6499,37267
1.0,0.5,0.04923882631706741,0.039195,0.20655,5.269804822043628,200000,7839,41310
1.0,0.5,0.06054123584037269,0.04837,0.228255,4.718937357866446,200000,9674,45651
1.0,0.5,0.07443803013251689,0.060205,0.253045,4.203056224566066,200000,12041,50609
1.0,0.5,0.09152473108773893,0.07382,0.280285,3.7968707667298838,200000,14764,56057
1.0,0.5,0.11253355826007645,0.0905,0.311,3.43646408839779,200000,18100,62200
1.0,0.5,0.13836480680324595,0.11043,0.344545,3.120030788734945,200000,22086,68909
1.0,0.5,0.17012542798525893,0.135345,0.382185,2.823783663969855,200000,27069,76437
1.0,0.5,0.20917646557569972,0.16603,0.42366,2.5517075227368546,200000,33206,84732
1.0,0.5,0.25719138090593446,0.20331,0.46896,2.3066253504500516,200000,40662,93792
1.0,0.5,0.31622776601683794,0.248635,0.51776,2.082409958372715,200000,49727,103552
1.0,1.0,0.0001,8.5e-05,8.5e-05,1.0,200000,17,17
1.0,1.0,0.00012295426265956227,0.000115,0.000125,1.0869565217391304,200000,23,25
1.0,1.0,0.00015117750706156616,0.000125,0.00013,1.0399999999999998,200000,25,26
1.0,1.0,0.00018587918911465635,0.00015,0.000145,0.9666666666666668,200000,30,29
1.0,1.0,0.00022854638641349906,0.00019,0.00017,0.8947368421052632,200000,38,34
1.0,1.0,0.0002810075242497918,0.00022,0.00023,1.0454545454545454,200000,44,46
1.0,1.0,0.0003455107294592218,0.00027,0.00027,1.0,200000,54,54
1.0,1.0,0.0004248201698162612,0.00032,0.000355,1.109375,200000,64,71
1.0,1.0,0.0005223345074266843,0.00039,0.000425,1.0897435897435896,200000,78,85
1.0,1.0,0.0006422325422229357,0.000505,0.000525,1.0396039603960394,200000,101,105
1.0,1.0,0.0007896522868499724,0.00061,0.00061,1.0,200000,122,122
1.0,1.0,0.0009709111468707553,0.000765,0.00077,1.0065359477124183,200000,153,154
1.0,1.0,0.0011937766417144358,0.000945,0.00096,1.0158730158730158,200000,189,192
1.0,1.0,0.0014677992676220704,0.00116,0.00114,0.9827586206896551,200000,232,228
1.0,1.0,0.0018047217668271701,0.001335,0.001385,1.0374531835205991,200000,267,277
1.0,1.0,0.0022189823414589718,0.001725,0.00172,0.9971014492753623,200000,345,344
1.0,1.0,0.0027283333764867696,0.002155,0.00206,0.9559164733178656,200000,431,412
1.0,1.0,0.0033546021859540433,0.002665,0.00264,0.9906191369606004,200000,533,528
1.0,1.0,0.004124626382901352,0.003295,0.003135,0.9514415781487102,200000,659,627
1.0,1.0,0.005071403956558132,0.00413,0.003885,0.940677966101695,200000,826,777
1.0,1.0,0.006235507341273912,0.005165,0.004845,0.9380445304937076,200000,1033,969
1.0,1.0,0.007666822074546214,0.006305,0.005985,0.9492466296590008,200000,1261,1197
1.0,1.0,0.009426684551178854,0.00774,0.00726,0.937984496124031,200000,1548,1452
1.0,1.0,0.011590510483144828,0.009535,0.00891,0.9344520188778185,200000,1907,1782
1.0,1.0,0.014251026703029978,0.011655,0.01109,0.9515229515229514,200000,2331,2218
1.0,1.0,0.017522244804127837,0.014435,0.013615,0.943193626602009,200000,2887,2723
1.0,1.0,0.021544346900318846,0.0176,0.01679,0.9539772727272726,200000,3520,3358
1.0,1.0,0.02648969287610527,0.021505,0.02089,0.9714019995349918,200000,4301,4178
1.0,1.0,0.03257020655659783,0.02651,0.025765,0.9718973972086006,200000,5302,5153
1.0,1.0,0.04004645731836127,0.032495,0.03219,0.9906139406062471,200000,6499,6438
1.0,1.0,0.04923882631706741,0.039195,0.03921,1.0003827018752391,200000,7839,7842
1.0,1.0,0.06054123584037269,0.04837,0.048155,0.9955550961339673,200000,9674,9631
1.0,1.0,0.07443803013251689,0.060205,0.058945,0.9790715056888962,200000,12041,11789
1.0,1.0,0.09152473108773893,0.07382,0.07206,0.9761582227038743,200000,14764,14412
